Reference, Quantity, Value, Footprint, Datasheet, Manufacturer part#, Vendor, Vendor part#, Manufacturer 2nd part#, Vendor 2nd part#, C90157, LCSC, MMBT9014C, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PRICE
SW2 ,1,"Reset Switch","coco2:B3F3152","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf","B3F-3152","digikey","SW410-ND","B32-1010","SW451-ND","","","","","","","","",""
TC1 ,1,"10pF-50pF","coco2:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://media.digikey.com/pdf/Data%20Sheets/EW%20Electronics-Edmar/GKGxx015_016_Series_DS.pdf","GKG60015","digikey","2447-GKG60015-ND","","","","","","","","","","",""
TP1001 ,1,"5V","TestPoint:TestPoint_Pad_3.0x3.0mm","~"
TP2 ,1,"ECLK","TestPoint:TestPoint_Pad_3.0x3.0mm","~"
TP3 ,1,"QCLK","TestPoint:TestPoint_Pad_3.0x3.0mm","~"
TP4 ,1,"~RAS","TestPoint:TestPoint_Pad_3.0x3.0mm","~"
TP5 ,1,"~CAS","TestPoint:TestPoint_Pad_3.0x3.0mm","~"
TP6 ,1,"CVIDEO","TestPoint:TestPoint_Pad_3.0x3.0mm","~"
TP7 ,1,"VIDEO","TestPoint:TestPoint_Pad_3.0x3.0mm","~"
TP8 ,1,"RED OUT","TestPoint:TestPoint_Pad_3.0x3.0mm","~"
U1001 ,1,"LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf","LM2596SX-5.0/NOPB","LCSC","C10002","","","","","","","","","","",""
U1002 ,1,"MAX3232","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1809081207_Maxim-Integrated-MAX3232ESE+T_C15846.pdf","MAX3232ESE+T"," LCSC","C15846","","","","","","","","","","",""
U1003 ,1,"LM393","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","http://www.ti.com/lit/ds/symlink/lm393.pdf","LM393PT","LCSC","C160466","","","","","","","","","","",""
X1 ,1,"28.63636 MHz","coco2:XTAL_ECS-286.3-20-46X","https://ecsxtal.com/store/pdf/HC-46X.pdf","ECS-286.3-20-46X","digikey","XC1766-ND","","","","","","","","","","",""
